scheduleNumber,scheduleDate,eventNumber,category,eventCode,eventName,eventDescription,priceCode,price
24,2024-05-18,25,1,YngR-K,ヤングライダー馬場馬術競技(公認）,FEI ヤングライダー個人競技馬場馬術課目(2022更新版）,公認,12000
25,2024-05-18,2,1,2B,馬場馬術２B,JEF 馬場馬術競技第２課目B,一般,7000
26,2024-05-18,3,1,2C,馬場馬術２C,JEF 馬場馬術競技第２課目C,一般,7000
27,2024-05-18,38,1,選択自由,選択自由演技馬場馬術競技,選手が希望する自由演技課目（注）,一般,7000
28,2024-05-18,39,1,選択馬場,選択馬場馬術課目,選手が希望する課目（注）(20×60m、20×40mのどちらでも可）,一般,7000
29,2024-05-18,40,1,パラ,パラ馬術競技,選手が希望する課目（注）,一般,7000
30,2024-05-18,26,2,ｸﾛｽ,クロス障害,クロス障害通過　分速325ｍ（基準タイム制）,クロス,5000
31,2024-05-18,35,2,小70,小障害飛越競技70,H70㎝以下（垂直のみ）分速325ｍ（基準タイム制）,一般,7000
32,2024-05-18,36,2,小80,小障害飛越競技80,JEF 小障害C  A-238-2.1  H80㎝以下　W90㎝以下,一般,7000
33,2024-05-18,37,2,小90,小障害飛越競技90,JEF 小障害B  A-238-2.1  H90㎝以下  W100cm以下,一般,7000
34,2024-05-18,34,2,小100,小障害飛越競技100,JEF 小障害A  A-238-2.1  H100㎝以下 W110㎝以下 ,一般,7000
35,2024-05-18,33,2,中D-K,中障害飛越競技Ｄ(公認),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,公認,12000
36,2024-05-18,32,2,中D-I,中障害飛越競技Ｄ(一般),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,一般,7000
37,2024-05-18,31,2,中C-K,中障害飛越競技Ｃ(公認),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,公認,12000
38,2024-05-18,30,2,中C-I,中障害飛越競技Ｃ(一般),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,一般,7000
39,2024-05-18,29,2,中B-K,中障害飛越競技Ｂ(公認),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,公認,12000
40,2024-05-18,28,2,中B-I,中障害飛越競技Ｂ(一般),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,一般,7000
41,2024-05-18,27,2,ｼﾞﾑｶｰﾅ,ジムカーナ競技,横木通過,ジムカーナ,5000
42,2024-05-19,19,1,GP,グランプリ馬場馬術競技,FEI グランプリ馬場馬術課目(2022更新版）,一般,7000
43,2024-05-19,22,1,JrR,ジュニアライダー馬場馬術競技,FEI ジュニアライダー個人競技馬場馬術課目(2022更新版）,一般,7000
44,2024-05-19,21,1,Int-K,インターメディエイトⅠ馬場馬術競技(公認),FEI　インターメディエイトⅠ馬場馬術課目(2022更新版）,公認,12000
45,2024-05-19,20,1,Int-I,インターメディエイトⅠ馬場馬術競技(一般),FEI インターメディエイトⅠ馬場馬術課目(2022更新版）,一般,7000
46,2024-05-19,15,1,5B-K,馬場馬術５B(公認),JEF 馬場馬術競技第５課目B,公認,12000
47,2024-05-19,14,1,5B-I,馬場馬術５B(一般),JEF 馬場馬術競技第５課目B,一般,7000
48,2024-05-19,24,1,St-K,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(公認),FEI セントジョージ賞典馬場馬術課目(2022更新版）,公認,12000
49,2024-05-19,23,1,St-I,ｾﾝﾄｼﾞｮｰｼﾞ賞典馬場馬術競技(一般),FEI セントジョージ賞典馬場馬術課目(2022更新版）,一般,7000
50,2024-05-19,11,1,4B-K,馬場馬術４B(公認),JEF 馬場馬術競技第４課目B,公認,12000
51,2024-05-19,10,1,4B-I,馬場馬術４B(一般),JEF 馬場馬術競技第４課目B,一般,7000
52,2024-05-19,7,1,3B-K,馬場馬術３B(公認),JEF 馬場馬術競技第３課目B,公認,12000
53,2024-05-19,6,1,3B-I,馬場馬術３B(一般),JEF 馬場馬術競技第３課目B,一般,7000
54,2024-05-19,25,1,YngR-K,ヤングライダー馬場馬術競技(公認）,FEI ヤングライダー個人競技馬場馬術課目(2022更新版）,公認,12000
55,2024-05-19,2,1,2B,馬場馬術２B,JEF 馬場馬術競技第２課目B,一般,7000
56,2024-05-19,3,1,2C,馬場馬術２C,JEF 馬場馬術競技第２課目C,一般,7000
57,2024-05-19,38,1,選択自由,選択自由演技馬場馬術競技,選手が希望する自由演技課目（注）,一般,7000
58,2024-05-19,39,1,選択馬場,選択馬場馬術課目,選手が希望する課目（注）(20×60m、20×40mのどちらでも可）,一般,7000
59,2024-05-19,40,1,パラ,パラ馬術競技,選手が希望する課目（注）,一般,7000
60,2024-05-19,33,2,中D-K,中障害飛越競技Ｄ(公認),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,公認,12000
61,2024-05-19,32,2,中D-I,中障害飛越競技Ｄ(一般),JEF 中障害D  A-238-2.1　H110㎝以下 W130㎝以下,一般,7000
62,2024-05-19,31,2,中C-K,中障害飛越競技Ｃ(公認),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,公認,12000
63,2024-05-19,30,2,中C-I,中障害飛越競技Ｃ(一般),JEF 中障害C  A-238-2.1　H120㎝以下 W140㎝以下 ,一般,7000
64,2024-05-19,29,2,中B-K,中障害飛越競技Ｂ(公認),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,公認,12000
65,2024-05-19,28,2,中B-I,中障害飛越競技Ｂ(一般),JEF 中障害B  A-238-2.1　H130㎝以下 W150㎝以下,一般,7000
66,2024-05-19,26,2,ｸﾛｽ,クロス障害,クロス障害通過　分速325ｍ（基準タイム制）,クロス,5000
67,2024-05-19,35,2,小70,小障害飛越競技70,H70㎝以下（垂直のみ）分速325ｍ（基準タイム制）,一般,7000
68,2024-05-19,36,2,小80,小障害飛越競技80,JEF 小障害C  A-238-2.1  H80㎝以下　W90㎝以下,一般,7000
69,2024-05-19,37,2,小90,小障害飛越競技90,JEF 小障害B  A-238-2.1  H90㎝以下  W100cm以下,一般,7000
70,2024-05-19,34,2,小100,小障害飛越競技100,JEF 小障害A  A-238-2.1  H100㎝以下 W110㎝以下 ,一般,7000
71,2024-05-19,27,2,ｼﾞﾑｶｰﾅ,ジムカーナ競技,横木通過,ジムカーナ,5000
